269,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
270,Ophthalmic Laboratory Technicians
271,Magnetic Resonance Imaging Technologists
272,Fire Investigators
273,Locksmiths and Safe Repairers
274,Cooling and Freezing Equipment Operators and Tenders
275,Nursery and Greenhouse Managers
276,Construction Carpenters
277,"Maintenance and Repair Workers, General"
278,"Airline Pilots, Copilots, and Flight Engineers"
279,Computer and Information Systems Managers
280,Film and Video Editors
281,Semiconductor Processors
282,"Mates- Ship, Boat, and Barge"
283,Mathematical Technicians
284,"Environmental Science Teachers, Postsecondary"
285,First-Line Supervisors of Agricultural Crop and Horticultural Workers
286,Pile-Driver Operators
287,Drywall and Ceiling Tile Installers
288,"Control and Valve Installers and Repairers, Except Mechanical Door"
289,Commercial Divers
290,"Career/Technical Education Teachers, Middle School"
291,Nuclear Medicine Technologists
292,Urologists
293,Tire Repairers and Changers
294,Wellhead Pumpers
295,Supply Chain Managers
296,Business Continuity Planners
297,Construction Laborers
298,Helpers--Extraction Workers
299,"Cutters and Trimmers, Hand"
300,Ship and Boat Captains
301,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
302,Orthodontists
303,Respiratory Therapy Technicians
304,"Rotary Drill Operators, Oil and Gas"
305,Recycling and Reclamation Workers
306,Forest Fire Fighting and Prevention Supervisors
307,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
308,"Dentists, General"
309,"Roof Bolters, Mining"
310,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
311,Soil and Plant Scientists
312,Brickmasons and Blockmasons
313,Highway Maintenance Workers
314,Continuous Mining Machine Operators
315,Operating Engineers and Other Construction Equipment Operators
316,"Earth Drillers, Except Oil and Gas"
317,Lodging Managers
318,Paperhangers
319,Pipelayers
320,Roofers
321,Jewelers
322,Hazardous Materials Removal Workers
323,City and Regional Planning Aides
324,Molding and Casting Workers
325,Physical Medicine and Rehabilitation Physicians
326,"Pump Operators, Except Wellhead Pumpers"
327,Informatics Nurse Specialists
328,Musical Instrument Repairers and Tuners
329,Forest Firefighters
330,Automotive Body and Related Repairers
331,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
332,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
333,Management Analysts
334,"Career/Technical Education Teachers, Secondary School"
335,Obstetricians and Gynecologists
336,Commercial Pilots
337,"Loading Machine Operators, Underground Mining"
338,"Health Specialties Teachers, Postsecondary"
339,Neurodiagnostic Technologists
340,Rough Carpenters
341,"Mixing and Blending Machine Setters, Operators, and Tenders"
342,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
343,Segmental Pavers
344,"Helpers--Installation, Maintenance, and Repair Workers"
345,Metal-Refining Furnace Operators and Tenders
346,Quality Control Systems Managers
347,Web Developers
348,Network and Computer Systems Administrators
349,Ophthalmologists
350,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
351,"Layout Workers, Metal and Plastic"
352,Gas Plant Operators
353,Hoist and Winch Operators
354,Business Intelligence Analysts
355,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
356,Airfield Operations Specialists
357,Molecular and Cellular Biologists
358,Motorcycle Mechanics
359,Transportation Managers
360,Animal Scientists
361,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
362,Program Directors
363,Nurse Anesthetists
364,"Fabric Menders, Except Garment"
